,country,avg_protests
0,Afghanistan,1.75
1,Albania,1.65
2,Algeria,2.25
3,Angola,1.0
4,Argentina,3.6
5,Armenia,3.9
6,Austria,0.55
7,Azerbaijan,4.4
8,Bahrain,2.05
9,Bangladesh,12.05
10,Belarus,2.05
11,Belgium,1.35
12,Benin,1.4
13,Bhutan,0.0
14,Bolivia,3.15
15,Bosnia and Herzegovina,1.05
16,Botswana,1.35
17,Brazil,8.0
18,Bulgaria,2.0
19,Burkina Faso,2.7
20,Burundi,3.7
21,Cambodia,2.05
22,Cameroon,1.6
23,Canada,1.6
24,Cape Verde,0.1
25,Central African Republic,2.2
26,Chad,0.55
27,Chile,5.4
28,China,11.75
29,Colombia,3.85
30,Comoros,3.05
31,Costa Rica,1.15
32,Croatia,0.9
33,Cuba,4.75
34,Cyprus,5.8
35,Czech Republic,0.9
36,Democratic Republic of the Congo,2.5
37,Denmark,0.35
38,Djibouti,0.3
39,Dominican Republic,1.9
40,Ecuador,4.85
41,Egypt,5.55
42,El Salvador,1.3
43,Equatorial Guinea,0.1
44,Eritrea,0.15
45,Estonia,2.0
46,Ethiopia,1.45
47,Finland,0.5
48,France,13.5
49,Gabon,0.85
50,Gambia,0.7
51,Georgia,1.65
52,Germany,14.25
53,Ghana,2.5
54,Greece,13.3
55,Guatemala,4.6
56,Guinea,4.15
57,Guinea-Bissau,1.15
58,Guyana,1.0
59,Haiti,3.65
60,Honduras,3.35
61,Hungary,2.6
62,India,8.3
63,Indonesia,3.8
64,Iran,4.75
65,Iraq,5.05
66,Ireland,16.95
67,Italy,6.7
68,Ivory Coast,2.8
69,Jamaica,1.05
70,Japan,1.8
71,Jordan,2.0
72,Kazakhstan,2.3
73,Kenya,16.0
74,Kosovo,1.5833333333333333
75,Kuwait,1.75
76,Kyrgyzstan,7.75
77,Laos,0.05
78,Latvia,2.35
79,Lebanon,2.35
80,Lesotho,0.7
81,Liberia,2.85
82,Libya,1.05
83,Lithuania,1.0
84,Luxembourg,0.0
85,Macedonia,3.15
86,Madagascar,4.4
87,Malawi,2.0
88,Malaysia,5.8
89,Mali,1.55
90,Mauritania,3.5
91,Mauritius,0.5
92,Mexico,4.35
93,Moldova,4.0
94,Mongolia,1.35
95,Montenegro,0.8571428571428571
96,Morocco,1.55
97,Mozambique,2.45
98,Myanmar,2.85
99,Namibia,9.55
100,Nepal,6.65
101,Netherlands,0.4
102,Nicaragua,2.7
103,Niger,2.7
104,Nigeria,6.7
105,North Korea,0.05
106,Norway,0.2
107,Oman,1.3
108,Pakistan,6.8
109,Panama,1.6
110,Papua New Guinea,1.35
111,Paraguay,2.5
112,Peru,5.6
113,Philippines,2.2
114,Poland,2.45
115,Portugal,1.25
116,Qatar,0.05
117,Republic of the Congo,0.75
118,Romania,4.35
119,Russia,7.4
120,Rwanda,0.15
121,Saudi Arabia,1.0
122,Senegal,1.75
123,Serbia,1.7142857142857142
124,Sierra Leone,1.4
125,Singapore,0.7
126,Slovakia,1.45
127,Slovenia,0.9
128,Somalia,0.65
129,South Africa,3.6
130,South Korea,10.5
131,South Sudan,0.1111111111111111
132,Spain,6.15
133,Sri Lanka,2.75
134,Sudan,2.5
135,Suriname,0.95
136,Swaziland,3.65
137,Sweden,0.75
138,Switzerland,0.1
139,Syria,0.75
140,Taiwan,4.35
141,Tajikistan,0.75
142,Tanzania,1.55
143,Thailand,11.2
144,Timor Leste,0.6666666666666666
145,Togo,3.3
146,Tunisia,2.1
147,Turkey,5.45
148,Turkmenistan,0.15
149,Uganda,2.3
150,Ukraine,6.65
151,United Arab Emirate,0.15
152,United Kingdom,18.1
153,Uruguay,1.7
154,Uzbekistan,1.6
155,Venezuela,10.15
156,Vietnam,0.65
157,Yemen,7.2
158,Zambia,2.8
159,Zimbabwe,3.15
